Index,Date,Open,High,Low,Close,Adj Close,Volume
399001.SZ,23-05-2011,12148.58984,12148.58984,11742.19043,11742.19043,11742.05957,63700
399001.SZ,24-05-2011,11703.63965,11768.78027,11640.21973,11749.91992,11749.78906,49500
399001.SZ,25-05-2011,11716.15039,11795.73047,11600.20996,11615.41992,11615.29004,43300
399001.SZ,26-05-2011,11695.49023,11752.73047,11530.7002,11530.7002,11530.57129,40300
399001.SZ,27-05-2011,11537.04004,11645.98047,11483.55957,11492.70996,11492.58106,48000
399001.SZ,30-05-2011,11456.30957,11595.13965,11405.05957,11478.20996,11478.08203,41700
399001.SZ,31-05-2011,11485.75,11665.13965,11420.94043,11665.13965,11665.00879,56000
399001.SZ,01-06-2011,11648.86035,11719.63965,11593.83008,11699.83008,11699.69922,49900
399001.SZ,02-06-2011,11566.42969,11613.5,11366.12012,11506.51953,11506.39063,62500
399001.SZ,03-06-2011,11492.33008,11690.08984,11487.29981,11642.40039,11642.26953,46900
399001.SZ,07-06-2011,11614,11756.90039,11599.30957,11741.25977,11741.12891,45400
399001.SZ,08-06-2011,11726.33008,11787.12012,11581.63965,11761.09961,11760.96777,48700
399001.SZ,09-06-2011,11725.20996,11735.20996,11508.38965,11513.2002,11513.07129,43700
399001.SZ,10-06-2011,11508.58008,11596.58008,11454.04004,11593.37988,11593.25,49100
399001.SZ,13-06-2011,11518.05957,11558.66016,11427.15039,11521.98047,11521.85156,39000
399001.SZ,14-06-2011,11501.21973,11765.12012,11495.11035,11732.04004,11731.90918,67700
399001.SZ,15-06-2011,11703.19043,11794.54004,11614.37988,11615.96973,11615.83984,57800
399001.SZ,16-06-2011,11516.65039,11551.32031,11417.58008,11435.99023,11435.86231,43300
399001.SZ,17-06-2011,11451.75977,11567,11409.16016,11409.16016,11409.03223,51200
399001.SZ,20-06-2011,11408.36035,11446.75977,11288.62012,11328.66992,11328.54297,49500
399001.SZ,21-06-2011,11360.92969,11514.25,11360.92969,11509.98047,11509.85156,56900
399001.SZ,22-06-2011,11524.62988,11598.75,11484.73047,11543.65039,11543.52051,52100
399001.SZ,23-06-2011,11511.91016,11817.21973,11474.98047,11775.32031,11775.18848,64000
399001.SZ,24-06-2011,11749.92969,12092.23047,11732.20996,11996.08008,11995.94629,97100
399001.SZ,27-06-2011,12005.05957,12106.65039,11947.49023,12026.29004,12026.15527,81900
399001.SZ,28-06-2011,12056.53027,12067.08984,11929,12047.08984,12046.9541,61000
399001.SZ,29-06-2011,12048.86035,12102.34961,11911.83008,11913.2002,11913.06641,56900
399001.SZ,30-06-2011,11935.83008,12157.55957,11930.34961,12110.92969,12110.79395,82900
399001.SZ,01-07-2011,12148.96973,12267.80957,12087.91992,12178.08008,12177.94336,87300
399001.SZ,04-07-2011,12241.66016,12475.38965,12241.66016,12441.16992,12441.03027,115600
399001.SZ,05-07-2011,12432.96973,12486.70996,12382.82031,12440.37012,12440.23047,96700
399001.SZ,06-07-2011,12420.62988,12446.78027,12311.15039,12425.67969,12425.54004,75600
399001.SZ,07-07-2011,12440.86035,12548.98047,12375.23047,12392.92969,12392.79102,87900
399001.SZ,08-07-2011,12390.33984,12478.83984,12343.66016,12404.33984,12404.20117,64400
399001.SZ,11-07-2011,12357.58008,12494.24023,12302.24023,12438.55957,12438.41992,63800
399001.SZ,12-07-2011,12344.05957,12381.11035,12232.21973,12268.19043,12268.05371,93600
399001.SZ,13-07-2011,12285.87988,12491.37988,12285.87988,12479.15039,12479.01074,75500
399001.SZ,14-07-2011,12515.69043,12546.50977,12355.21973,12440.83008,12440.69043,83700
399001.SZ,15-07-2011,12390.09961,12511.38965,12355.58008,12506.94043,12506.80078,106800
399001.SZ,18-07-2011,12511.69043,12537.79004,12461.05957,12490.54981,12490.41016,69200
399001.SZ,19-07-2011,12429.23047,12448.03027,12358.54981,12381.45996,12381.32129,67900
399001.SZ,20-07-2011,12445.69043,12470,12277.38965,12393.99023,12393.85156,74900
399001.SZ,21-07-2011,12390,12425.49023,12296.25,12301.41016,12301.27148,68000
399001.SZ,22-07-2011,12331.13965,12432.03027,12307.75,12352.5,12352.36133,55700
399001.SZ,25-07-2011,12258.12012,12289.50977,11919.84961,11966.24023,11966.10645,86000
399001.SZ,26-07-2011,11951.94043,12011.59961,11909.7002,12008.53027,12008.39648,58900
399001.SZ,27-07-2011,11922.66016,12143.69043,11885.90039,12116.86035,12116.72461,60900
399001.SZ,28-07-2011,12014.36035,12093.96973,11952.33984,12085.91992,12085.78418,64100
399001.SZ,29-07-2011,12069.95996,12116.37988,11915.21973,11990.42969,11990.2959,59000
399001.SZ,01-08-2011,11975.28027,12074.9502,11940.88965,12002.41992,12002.28613,47000
399001.SZ,02-08-2011,11927.45996,11932.04004,11752.59961,11932.04004,11931.90625,57900
399001.SZ,03-08-2011,11813.37988,12011.86035,11809.98047,11922.37012,11922.23633,59200
399001.SZ,04-08-2011,11954.4502,12047.87012,11901.45996,11934.41016,11934.27637,46000
399001.SZ,05-08-2011,11585.94043,11769.67969,11547.15039,11701.75977,11701.62891,71700
399001.SZ,08-08-2011,11576.57031,11693.98047,11107.11035,11312.62988,11312.50293,87100
399001.SZ,09-08-2011,11007.54981,11380.07031,10926.46973,11315.08008,11314.95313,90700
399001.SZ,10-08-2011,11519.30957,11574.75,11441.91016,11449.58008,11449.45215,79000
399001.SZ,11-08-2011,11260.41992,11627.49023,11260.41992,11627.49023,11627.35938,81700
399001.SZ,12-08-2011,11683.62012,11738.87012,11630.29004,11651.29004,11651.15918,66800
399001.SZ,15-08-2011,11686.42969,11767.74023,11611.23047,11767.74023,11767.6084,63400
399001.SZ,16-08-2011,11782.12988,11797.41992,11628.34961,11665.41016,11665.2793,57300
399001.SZ,17-08-2011,11648.00977,11726.16016,11577.79981,11598.28027,11598.15039,45600
399001.SZ,18-08-2011,11597.12012,11618.51953,11399.66992,11414.16016,11414.03223,45200
399001.SZ,19-08-2011,11218.66016,11337.57031,11191.54981,11301.53027,11301.40332,56000
399001.SZ,22-08-2011,11315.29981,11377.4502,11083.40039,11112.63965,11112.51465,48800
399001.SZ,23-08-2011,11146.63965,11243.41992,11120.58984,11243.41992,11243.29395,38800
399001.SZ,24-08-2011,11313.98047,11369.98047,11225.51953,11238.9502,11238.82422,43300
399001.SZ,25-08-2011,11268.79981,11605.07031,11229.40039,11598.92969,11598.79981,81300
399001.SZ,26-08-2011,11547.54981,11599.87988,11472.28027,11568.16992,11568.04004,51300
399001.SZ,29-08-2011,11464.87988,11484.45996,11356.57031,11372.37988,11372.25195,52500
399001.SZ,30-08-2011,11457.92969,11573.28027,11328.99023,11344.4502,11344.32324,53000
399001.SZ,31-08-2011,11371.25,11436.12012,11306.28027,11397.48047,11397.35254,42600
399001.SZ,01-09-2011,11425.11035,11491.34961,11308.9502,11352.86035,11352.73242,37300
399001.SZ,02-09-2011,11324.00977,11353.96973,11176.04004,11228.29981,11228.17383,33200
399001.SZ,05-09-2011,11129.37012,11131.78027,10954.90039,10954.90039,10954.77734,42500
399001.SZ,06-09-2011,10887.58984,10966.73047,10736.33008,10778.42969,10778.30957,43300
399001.SZ,07-09-2011,10852.08984,11011.17969,10810.91016,11011.17969,11011.05664,44800
399001.SZ,08-09-2011,11063.00977,11069.41016,10933.30957,10933.30957,10933.1875,35700
399001.SZ,09-09-2011,10990.50977,11101.70996,10850.5,10892.38965,10892.26758,33100
399001.SZ,13-09-2011,10738.59961,10806.37012,10669.46973,10775.29981,10775.17969,33400
399001.SZ,14-09-2011,10807.62012,10847.19043,10604.63965,10822.40039,10822.27832,35800
399001.SZ,15-09-2011,10839.58008,10938.82031,10813.2002,10848.01953,10847.89746,41300
399001.SZ,16-09-2011,10905.59961,10955.62988,10860.04981,10878.23047,10878.1084,41100
399001.SZ,19-09-2011,10815.79981,10815.79981,10646.49023,10657.62988,10657.51074,40300
399001.SZ,20-09-2011,10635.46973,10740.94043,10569.19043,10679.29981,10679.17969,40400
399001.SZ,21-09-2011,10683.29004,11035.24023,10639.41992,10991.84961,10991.72656,73000
399001.SZ,22-09-2011,10896.61035,10941.79981,10660.46973,10660.46973,10660.35059,58600
399001.SZ,23-09-2011,10466.04004,10618.12012,10392.91016,10538.40039,10538.2832,55800
399001.SZ,26-09-2011,10433.11035,10602.08984,10299.34961,10328.46973,10328.35352,46200
399001.SZ,27-09-2011,10416.90039,10513.94043,10314.53027,10448.66016,10448.54297,46400
399001.SZ,28-09-2011,10522.36035,10549.90039,10327.53027,10369.92969,10369.81348,44600
399001.SZ,29-09-2011,10296.69043,10411.7002,10224.73047,10287.90039,10287.78516,48800
399001.SZ,30-09-2011,10340.04004,10383.51953,10249.78027,10292.33008,10292.21484,41000
399001.SZ,10-10-2011,10315.95996,10343.66016,10158.41016,10170.75,10170.63574,34700
399001.SZ,11-10-2011,10416.61035,10452.33008,9953.129883,10065.46973,10065.35645,57700
399001.SZ,12-10-2011,9997.55957,10444.01953,9949.139648,10425.92969,10425.8125,81200
399001.SZ,13-10-2011,10399.38965,10564.54981,10362.34961,10481.83984,10481.72266,71400
399001.SZ,14-10-2011,10457.75,10500.11035,10352.25977,10438.25977,10438.14258,46900
399001.SZ,17-10-2011,10455.50977,10588.12988,10450.50977,10513.49023,10513.37305,46900
399001.SZ,18-10-2011,10442.57031,10469.16992,10215.94043,10226.92969,10226.81543,53500
399001.SZ,19-10-2011,10255.59961,10304.32031,10094.33008,10105.74023,10105.62695,51300
399001.SZ,20-10-2011,10049.37012,10049.37012,9721.110352,9796.230469,9796.121094,56900
399001.SZ,21-10-2011,9799.959961,9857.969727,9691.599609,9697.209961,9697.101563,39900
399001.SZ,24-10-2011,9735.339844,9977.599609,9653.509766,9957.620117,9957.508789,62400
399001.SZ,25-10-2011,9954.230469,10241.09961,9916.349609,10203.40039,10203.28613,87900
399001.SZ,26-10-2011,10146.75,10418.34961,10144.42969,10315.75,10315.63379,97300
399001.SZ,27-10-2011,10341.41016,10400.46973,10293.2002,10323.29004,10323.17383,59300
399001.SZ,28-10-2011,10476.63965,10637.09961,10474.54981,10561.99023,10561.87109,100800
399001.SZ,31-10-2011,10546.41016,10546.41016,10415.54981,10480.91016,10480.79297,77200
399001.SZ,01-11-2011,10389.01953,10563.46973,10364.70996,10441.7002,10441.58301,69200
399001.SZ,02-11-2011,10291.62012,10581.75,10233.62988,10581.75,10581.63086,84900
399001.SZ,03-11-2011,10618.45996,10777.76953,10618.45996,10624.12012,10624.00098,114900
399001.SZ,04-11-2011,10721.48047,10791.38965,10642.50977,10699.49023,10699.37012,79800
399001.SZ,07-11-2011,10660.15039,10717.20996,10579.41992,10591.66016,10591.54102,59700
399001.SZ,08-11-2011,10619.41016,10663.66016,10519.25977,10541.09961,10540.98242,53600
399001.SZ,09-11-2011,10575.17969,10636.5,10455.69043,10625.87988,10625.76074,53500
399001.SZ,10-11-2011,10508.71973,10567.48047,10464.37012,10477.54981,10477.43262,70600
399001.SZ,11-11-2011,10500.57031,10531.13965,10375.37988,10418.92969,10418.8125,60100
399001.SZ,14-11-2011,10501.73047,10645.67969,10495.7002,10645.67969,10645.56055,70000
399001.SZ,15-11-2011,10631.04981,10640.32031,10545.00977,10583,10582.88086,57600
399001.SZ,16-11-2011,10593.54981,10595.87988,10282.25,10313.33008,10313.21387,67500
399001.SZ,17-11-2011,10317.32031,10408.61035,10296.51953,10303.16016,10303.04395,50600
399001.SZ,18-11-2011,10236.99023,10242.07031,10002.76953,10025.16992,10025.05762,72300
399001.SZ,21-11-2011,10032.46973,10063.84961,9953.570313,10033.79004,10033.67773,41700
399001.SZ,22-11-2011,9971.679688,10052.44043,9922.299805,10028.2002,10028.08789,44200
399001.SZ,23-11-2011,10043.01953,10076.67969,9933.209961,9957.320313,9957.208984,37200
399001.SZ,24-11-2011,9889.549805,10023.07031,9837.849609,9966.740234,9966.628906,47500
399001.SZ,25-11-2011,9943.660156,9999.549805,9866.280273,9886.25,9886.138672,35500
399001.SZ,28-11-2011,9908.120117,9961.660156,9833.44043,9884.700195,9884.588867,41300
399001.SZ,29-11-2011,9970.919922,10012.94043,9903.179688,10012.94043,10012.82813,47900
399001.SZ,30-11-2011,9991.950195,9991.950195,9626.759766,9693.389648,9693.28125,60300
399001.SZ,01-12-2011,9976.519531,10102.34961,9902.820313,9917.860352,9917.749023,96300
399001.SZ,02-12-2011,9868.410156,9898.089844,9757.950195,9808.230469,9808.120117,48800
399001.SZ,05-12-2011,9805.450195,9807.69043,9572.019531,9586.080078,9585.972656,48900
399001.SZ,06-12-2011,9568.870117,9618.410156,9505.230469,9586.94043,9586.833008,35800
399001.SZ,07-12-2011,9582.379883,9656.230469,9551.209961,9606.25,9606.141602,32600
399001.SZ,08-12-2011,9603.150391,9712.139648,9477.129883,9580.519531,9580.412109,43300
399001.SZ,09-12-2011,9516.25,9583.150391,9439.830078,9480.269531,9480.163086,43200
399001.SZ,12-12-2011,9457.830078,9467.040039,9365.379883,9376.280273,9376.174805,34300
