Index,Date,Open,High,Low,Close,Adj Close,Volume
GDAXI,29-03-2021,14809.79981,14845.41992,14756.04004,14817.71973,14817.71973,71106000
GDAXI,30-03-2021,14897.66016,15029.7002,14890.28027,15008.61035,15008.61035,71173400
GDAXI,31-03-2021,14982.12012,15026.49023,14973.58984,15008.33984,15008.33984,76061700
GDAXI,01-04-2021,15053.76953,15110.91992,15032.51953,15107.16992,15107.16992,67886600
GDAXI,06-04-2021,15289.96973,15311.86035,15209.90039,15212.67969,15212.67969,79478900
GDAXI,07-04-2021,15221.23047,15242.73047,15160.28027,15176.36035,15176.36035,59116700
GDAXI,08-04-2021,15236.44043,15247.78027,15144.11035,15202.67969,15202.67969,68862100
GDAXI,09-04-2021,15198.13965,15243.55957,15157.20996,15234.16016,15234.16016,56870100
GDAXI,12-04-2021,15238.84961,15275.33008,15212.24023,15215,15215,53646400
GDAXI,13-04-2021,15244.62012,15281.65039,15184.9502,15234.36035,15234.36035,62443500
GDAXI,14-04-2021,15253.58984,15255.91992,15191.50977,15209.15039,15209.15039,66666600
GDAXI,15-04-2021,15238.62988,15271.69043,15227.62988,15255.33008,15255.33008,61834300
GDAXI,16-04-2021,15277.84961,15473.83008,15274.21973,15459.75,15459.75,82758000
GDAXI,19-04-2021,15496.87012,15501.83984,15368.13965,15368.38965,15368.38965,61839400
GDAXI,20-04-2021,15361.15039,15393.12988,15109.54004,15129.50977,15129.50977,76224500
GDAXI,21-04-2021,15179.91016,15210.69043,15071.78027,15195.96973,15195.96973,67077500
GDAXI,22-04-2021,15252.04004,15328.33008,15230.2002,15320.51953,15320.51953,59628300
GDAXI,23-04-2021,15267.75977,15309.08984,15149.34961,15279.62012,15279.62012,57798000
GDAXI,26-04-2021,15297.92969,15325.88965,15237.01953,15296.33984,15296.33984,49117600
GDAXI,27-04-2021,15282.83984,15293.88965,15186.75977,15249.26953,15249.26953,54513000
GDAXI,28-04-2021,15320.40039,15355.28027,15266.61035,15292.17969,15292.17969,79607600
GDAXI,29-04-2021,15326.23047,15329.71973,15085.01953,15154.2002,15154.2002,80110800
GDAXI,30-04-2021,15204.38965,15244.25977,15135.91016,15135.91016,15135.91016,75194700
GDAXI,03-05-2021,15191.79004,15268.55957,15111.29981,15236.46973,15236.46973,48822800
GDAXI,04-05-2021,15259.5,15260.75,14845.26953,14856.48047,14856.48047,89422100
GDAXI,05-05-2021,14969.62988,15170.78027,14963.76953,15170.78027,15170.78027,81587200
GDAXI,06-05-2021,15170.76953,15281.40039,15092.76953,15196.74023,15196.74023,77036200
GDAXI,07-05-2021,15348.32031,15406.41016,15290.2002,15399.65039,15399.65039,74562700
GDAXI,10-05-2021,15417.53027,15419.42969,15347.95996,15400.41016,15400.41016,65162200
GDAXI,11-05-2021,15253.32031,15255.88965,15006.73047,15119.75,15119.75,80129000
GDAXI,12-05-2021,15144.04004,15226.36035,15058.11035,15150.21973,15150.21973,79302600
GDAXI,13-05-2021,14967.79981,15235.88965,14816.34961,15199.67969,15199.67969,64374900
GDAXI,14-05-2021,15301.74023,15417.24023,15214.67969,15416.63965,15416.63965,69232200
GDAXI,17-05-2021,15432.33984,15482.23047,15353.66016,15396.62012,15396.62012,67787000
GDAXI,18-05-2021,15514.71973,15538.00977,15344.09961,15386.58008,15386.58008,65843300
GDAXI,19-05-2021,15238.82031,15266.53027,14961.26953,15113.55957,15113.55957,75858000
GDAXI,20-05-2021,15207.32031,15370.25977,15102.34961,15370.25977,15370.25977,65602300
GDAXI,21-05-2021,15411.03027,15467.19043,15364.42969,15437.50977,15437.50977,70065600
GDAXI,25-05-2021,15548.29004,15568.59961,15465.08984,15465.08984,15465.08984,92981200
GDAXI,26-05-2021,15520.44043,15541.86035,15407.48047,15450.71973,15450.71973,58668800
GDAXI,27-05-2021,15419.2002,15490.05957,15350.66992,15406.73047,15406.73047,119417800
GDAXI,28-05-2021,15443.13965,15548.71973,15435.74023,15519.98047,15519.98047,56862000
GDAXI,31-05-2021,15496.48047,15499.63965,15414.37988,15421.12988,15421.12988,36495900
KS11,11-12-1996,705.98999,709.47998,704.429993,704.679993,704.679993,28000
KS11,12-12-1996,705.109985,706.01001,688.73999,689.380005,689.380005,25900
KS11,13-12-1996,690.440002,695.719971,677.640015,689.070007,689.070007,26500
KS11,16-12-1996,686.969971,686.969971,667.710022,673.919983,673.919983,22800
KS11,17-12-1996,675.349976,680.090027,660.390015,663.349976,663.349976,31600
KS11,18-12-1996,662.070007,671.429993,655.469971,661.390015,661.390015,31500
KS11,19-12-1996,668.130005,690.969971,668.130005,690.969971,690.969971,30400
KS11,20-12-1996,695.330017,703.51001,692.469971,700.869995,700.869995,30000
KS11,23-12-1996,691.97998,697.119995,684.809998,684.809998,684.809998,21500
KS11,24-12-1996,683.109985,687.059998,677.559998,677.76001,677.76001,23800
KS11,26-12-1996,676.210022,676.210022,655.23999,659.01001,659.01001,25500
KS11,27-12-1996,654.820007,657.039978,643.570007,651.219971,651.219971,35100
KS11,03-01-1997,647.669983,655.700012,635.409973,653.789978,653.789978,13900
KS11,06-01-1997,637.97998,637.97998,625.01001,626.869995,626.869995,17600
KS11,07-01-1997,622.450012,627.609985,609.119995,611.049988,611.049988,24100
KS11,08-01-1997,608.530029,623.390015,600.559998,621.409973,621.409973,34200
KS11,09-01-1997,619.099976,640.809998,612.409973,639.869995,639.869995,36100
KS11,10-01-1997,637.98999,653.590027,636.809998,648.690002,648.690002,36500
KS11,13-01-1997,659.809998,664.950012,655.73999,659.539978,659.539978,28700
KS11,14-01-1997,656.669983,687.659973,656.669983,686.590027,686.590027,36600
KS11,15-01-1997,690.179993,699.76001,686.02002,699.76001,699.76001,42000
KS11,16-01-1997,701.640015,711.960022,694.390015,711.859985,711.859985,47300
KS11,17-01-1997,713.070007,720.409973,695.77002,701.179993,701.179993,48200
KS11,20-01-1997,697.559998,720.690002,697.559998,718.460022,718.460022,43000
KS11,21-01-1997,721.039978,721.789978,690.539978,690.539978,690.539978,44300
KS11,22-01-1997,686.710022,686.890015,671.909973,678.940002,678.940002,36700
KS11,23-01-1997,679.340027,685.140015,672.72998,676.909973,676.909973,31000
KS11,24-01-1997,669.030029,679.559998,658.179993,679.559998,679.559998,35500
KS11,27-01-1997,684.309998,685.460022,664.679993,664.700012,664.700012,28300
KS11,28-01-1997,661.659973,677.630005,653.419983,662.849976,662.849976,30400
KS11,29-01-1997,663.330017,672.900024,654.950012,663.559998,663.559998,30200
KS11,30-01-1997,663.650024,679.039978,662.27002,676.52002,676.52002,28800
KS11,31-01-1997,678.190002,687.98999,678.169983,685.840027,685.840027,32000
KS11,03-02-1997,682.26001,696.210022,681.01001,687.25,687.25,27300
KS11,04-02-1997,687.840027,696.23999,687.840027,695.950012,695.950012,33100
KS11,05-02-1997,698.179993,708.200012,697.950012,698.599976,698.599976,38600
KS11,06-02-1997,698.539978,704.440002,693.820007,700.219971,700.219971,34100
KS11,10-02-1997,701.429993,709.799988,701.429993,709.789978,709.789978,29300
KS11,11-02-1997,711.109985,713.880005,707.859985,713.429993,713.429993,41400
KS11,12-02-1997,714.820007,715.869995,708.719971,712.5,712.5,35300
KS11,13-02-1997,713.640015,726.130005,713.640015,716.710022,716.710022,49800
KS11,14-02-1997,717.289978,723.02002,715,721,721,39100
KS11,17-02-1997,720.419983,721.5,712.929993,712.929993,712.929993,31500
KS11,18-02-1997,712.619995,715.179993,703.98999,706.940002,706.940002,30400
KS11,19-02-1997,708.640015,713.669983,706.580017,713.669983,713.669983,31100
